----------------------------------|----------|----------|----------|----------|----------------|
File                              |  % Stmts | % Branch |  % Funcs |  % Lines |Uncovered Lines |
----------------------------------|----------|----------|----------|----------|----------------|
 components/App/                  |        0 |      100 |        0 |        0 |                |
  App.jsx                         |        0 |      100 |        0 |        0 |             12 |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/DetailedVideo/        |      100 |      100 |      100 |      100 |                |
  DetailedVideo.jsx               |      100 |      100 |      100 |      100 |                |
  DetailedVideo.styled.js         |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/Header/               |    95.24 |      100 |     87.5 |    95.24 |                |
  Header.jsx                      |      100 |      100 |      100 |      100 |                |
  Header.styled.js                |      100 |      100 |      100 |      100 |                |
  HeaderSearch.jsx                |      100 |      100 |      100 |      100 |                |
  HeaderThemeToggle.jsx           |       75 |      100 |       50 |       75 |             12 |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/Layout/               |      100 |      100 |      100 |      100 |                |
  Layout.jsx                      |      100 |      100 |      100 |      100 |                |
  Layout.styled.js                |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/RelatedVideoList/     |      100 |      100 |      100 |      100 |                |
  RelatedVideo.jsx                |      100 |      100 |      100 |      100 |                |
  RelatedVideo.styled.js          |      100 |      100 |      100 |      100 |                |
  RelatedVideoList.jsx            |      100 |      100 |      100 |      100 |                |
  RelatedVideoList.styled.js      |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/SearchInput/          |      100 |      100 |      100 |      100 |                |
  SearchIcon.jsx                  |      100 |      100 |      100 |      100 |                |
  SearchInput.jsx                 |      100 |      100 |      100 |      100 |                |
  SearchInput.styled.js           |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/ToggleInput/          |    92.86 |       80 |      100 |    92.86 |                |
  ToggleInput.jsx                 |    88.89 |    66.67 |      100 |    88.89 |             20 |
  ToggleInput.styled.js           |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/UI/                   |      100 |      100 |      100 |      100 |                |
  Container.jsx                   |      100 |      100 |      100 |      100 |                |
  Rotate.jsx                      |      100 |      100 |      100 |      100 |                |
  Spinner.jsx                     |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/UserAvatar/           |      100 |      100 |      100 |      100 |                |
  UserAvatar.jsx                  |      100 |      100 |      100 |      100 |                |
  UserAvatar.styled.js            |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 components/VideoList/            |      100 |      100 |      100 |      100 |                |
  Video.jsx                       |      100 |      100 |      100 |      100 |                |
  Video.styled.js                 |      100 |      100 |      100 |      100 |                |
  VideoList.jsx                   |      100 |      100 |      100 |      100 |                |
  VideoList.styled.js             |      100 |      100 |      100 |      100 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
 hooks/                           |        0 |      100 |        0 |        0 |                |
  index.js                        |      100 |      100 |      100 |      100 |                |
  useYoutubeData.js               |        0 |      100 |        0 |        0 |... 16,18,20,26 |
 providers/                       |    83.33 |    46.67 |      100 |    83.33 |                |
  ThemeContextProvider.jsx        |    81.82 |    46.15 |      100 |    81.82 |    23,24,30,51 |
  YoutubeQueryContextProvider.jsx |     87.5 |       50 |      100 |     87.5 |             22 |
  index.js                        |      100 |      100 |      100 |      100 |                |
----------------------------------|----------|----------|----------|----------|----------------|
All files                         |    86.33 |    66.67 |    91.67 |    86.33 |                |
----------------------------------|----------|----------|----------|----------|----------------|

Done
